2026-04-27T02:19:14 | lang=java   | code_len=  112 | is_bug=true  | confidence=0.9500 | response_ms=  234.4
2026-05-07T00:12:40 | lang=java   | code_len=  496 | is_bug=false | confidence=0.6200 | response_ms= 1329.2
2026-05-07T00:12:46 | lang=java   | code_len=  495 | is_bug=false | confidence=0.6200 | response_ms= 1302.2
2026-05-07T00:31:02 | lang=java   | code_len=  238 | is_bug=false | confidence=0.5635 | response_ms=  543.0
2026-05-07T00:36:56 | lang=java   | code_len=  108 | is_bug=false | confidence=0.6268 | response_ms=  538.9
2026-05-07T00:42:00 | lang=java   | code_len=  108 | is_bug=false | confidence=0.6268 | response_ms=  584.6
2026-05-07T00:48:22 | lang=java   | code_len=  108 | is_bug=false | confidence=0.6268 | response_ms=  553.5
2026-05-07T00:49:47 | lang=java   | code_len=  108 | is_bug=false | confidence=0.6268 | response_ms=  547.8
2026-05-07T00:49:54 | lang=java   | code_len=  108 | is_bug=false | confidence=0.6268 | response_ms=  556.2
2026-05-07T00:51:19 | lang=java   | code_len=  108 | is_bug=false | confidence=0.6268 | response_ms=  545.8
2026-05-07T07:55:14 | lang=java   | code_len=  108 | is_bug=false | confidence=0.6268 | response_ms=  924.9
2026-05-07T08:00:44 | lang=java   | code_len=  107 | is_bug=true  | confidence=0.0000 | response_ms=  927.0
2026-05-07T08:03:22 | lang=java   | code_len=  122 | is_bug=true  | confidence=0.0000 | response_ms=  665.5
2026-05-07T08:03:52 | lang=java   | code_len=   84 | is_bug=true  | confidence=0.0000 | response_ms=  700.1
2026-05-07T08:04:53 | lang=c      | code_len=   84 | is_bug=true  | confidence=0.0000 | response_ms=  288.6
2026-05-07T08:05:44 | lang=c      | code_len=  104 | is_bug=false | confidence=0.9022 | response_ms= 1756.0
2026-05-07T08:28:52 | lang=c      | code_len=   12 | is_bug=true  | confidence=0.0000 | response_ms=  161.7
2026-05-07T08:29:48 | lang=c      | code_len=   71 | is_bug=false | confidence=0.8663 | response_ms= 1723.2
2026-05-07T08:42:03 | lang=c      | code_len=   72 | is_bug=false | confidence=0.8663 | response_ms= 1736.6
2026-05-07T08:48:27 | lang=java   | code_len=   71 | is_bug=true  | confidence=0.0000 | response_ms=  652.7
2026-05-07T08:48:35 | lang=c      | code_len=   71 | is_bug=false | confidence=0.8663 | response_ms= 1698.7
2026-05-07T08:50:48 | lang=java   | code_len=   71 | is_bug=true  | confidence=0.0000 | response_ms=  645.1
2026-05-07T08:50:59 | lang=c      | code_len=   71 | is_bug=false | confidence=0.8663 | response_ms= 1640.3
2026-05-07T09:43:48 | lang=java   | code_len=   71 | is_bug=true  | confidence=0.0000 | response_ms=  758.2
2026-05-07T09:43:55 | lang=c      | code_len=   71 | is_bug=true  | confidence=0.9800 | response_ms=  170.0
2026-05-07T09:46:43 | lang=c      | code_len=  104 | is_bug=false | confidence=0.9022 | response_ms= 1231.5
2026-05-07T09:59:00 | lang=c      | code_len=  179 | is_bug=false | confidence=0.8735 | response_ms= 1258.7
2026-05-07T09:59:36 | lang=c      | code_len=   72 | is_bug=true  | confidence=0.9800 | response_ms=  157.0
2026-05-07T10:17:29 | lang=c      | code_len=   72 | is_bug=true  | confidence=0.9800 | response_ms=  238.7
2026-05-07T10:20:19 | lang=c      | code_len=  110 | is_bug=true  | confidence=0.0000 | response_ms=  197.1
2026-05-07T10:20:27 | lang=java   | code_len=  110 | is_bug=true  | confidence=0.0000 | response_ms= 1359.4
